,trend,PESTLE Tag1,PESTLE Tag2,summary,source,links,source title,source date,source location,DC,SS,AC,AT,RL,SC,EF,IB,Total
0,U.S. Drug Price Reform Targets Global Pharma Giants,Political,Economic,"President Trump signed an executive order to reduce prescription drug prices in the U.S., warning pharmaceutical companies against price gouging and setting a 30-day deadline for proposed price reductions. His administration aims to align U.S. drug prices with those in other countries, affecting global pharma markets.",The Times,https://www.thetimes.co.uk/article/gsk-and-astrazeneca-take-hit-as-trump-vows-to-make-drugs-cheaper-sr2k8xzw5?utm_source=chatgpt.com,GSK and AstraZeneca take hit as Trump vows to make drugs cheaper,2025-05-08,UK,5,5,4,2,5,4,4,4,33
1,China Seeks to Attract Pharma Investment Amid Global Tensions,Political,Economic,"Novartis CEO highlighted China's strategic positioning amid global instability, noting efforts to attract multinational pharmaceutical investment through business-friendly policies.",Financial Times,https://www.ft.com/content/2ea238a9-5449-4dbf-aacb-2b800e396679?utm_source=chatgpt.com,Novartis CEO says China is capitalizing on global instability,2025-04-18,China,3,4,3,2,2,3,4,3,24
2,AI Integration in Healthcare Accelerates,Technological,Economic,"Healthcare providers are increasingly adopting AI to improve diagnostics, care delivery, and operational efficiency, driving cost savings and better patient outcomes.",Financial News London,https://www.fnlondon.com/articles/trump-2-0-ai-integration-tariff-threats-the-key-trends-hitting-finance-in-2025-1a2eb9e4?utm_source=chatgpt.com,"AI integration, tariff threats: the key trends hitting finance in 2025",2025-04-22,Global,5,5,4,4,1,4,4,4,31
3,Global Healthcare Systems Face Financial Strain,Economic,Social,"Healthcare systems are under financial pressure due to aging populations and increasing demand, prompting reforms and investment for sustainability.",Reuters,https://www.reuters.com/sustainability/boards-policy-regulation/imf-says-financial-stability-risks-increased-significantly-amid-trade-turmoil-2025-04-22/?utm_source=chatgpt.com,IMF says financial stability risks increased significantly amid trade turmoil,2025-04-22,Global,5,5,4,3,3,4,4,4,32
4,Telemedicine Adoption Surges Post-Pandemic,Technological,Social,"Post-COVID-19, healthcare providers have rapidly expanded telemedicine services to improve access and meet growing patient needs.",Financial News London,https://www.fnlondon.com/articles/trump-2-0-ai-integration-tariff-threats-the-key-trends-hitting-finance-in-2025-1a2eb9e4?utm_source=chatgpt.com,"AI integration, tariff threats: the key trends hitting finance in 2025",2025-04-22,Global,4,4,4,4,2,4,4,4,30
5,Global Regulators Prioritize Climate Risk Assessment,Environmental,Legal,"Banking regulators globally are prioritizing climate risk, working on frameworks to assess and disclose financial risks linked to environmental changes.",Reuters,https://www.reuters.com/sustainability/cop/global-banking-regulators-agree-prioritise-climate-risk-work-2025-05-12/?utm_source=chatgpt.com,Global banking regulators agree to prioritise climate risk work,2025-05-12,Global,2,5,4,3,4,2,4,4,28
6,Central Banks Diverge Amid Tariff-Induced Economic Uncertainty,Economic,Political,Central banks are adopting divergent monetary policies in response to inflation and geopolitical tensions arising from U.S. tariffs and global trade shifts.,Reuters,https://www.reuters.com/business/finance/global-markets-central-banks-graphic-2025-05-08/?utm_source=chatgpt.com,Global markets diverge amid central bank responses,2025-05-08,Global,1,2,2,2,1,1,2,4,15
7,Global Debt Reaches Record High,Economic,Political,"Global debt rose to $324 trillion in Q1 2025, led by China, France, and Germany, while some countries like Canada and Turkey saw reductions.",Reuters,https://www.reuters.com/world/china/global-debt-hits-record-over-324-trillion-says-iif-2025-05-06/?utm_source=chatgpt.com,"Global debt hits record over $324 trillion, says IIF",2025-05-06,Global,1,4,2,1,1,1,1,2,13
8,IMF Warns of Increased Financial Stability Risks,Economic,Legal,"The IMF highlighted growing financial stability risks due to trade conflicts and monetary tightening, warning of systemic vulnerabilities.",Reuters,https://www.reuters.com/sustainability/boards-policy-regulation/imf-says-financial-stability-risks-increased-significantly-amid-trade-turmoil-2025-04-22/?utm_source=chatgpt.com,IMF says financial stability risks increased significantly amid trade turmoil,2025-04-22,Global,2,4,3,2,2,1,2,4,20
9,Rise of 'Greenhushing' Among Corporations,Environmental,Social,Corporations are quietly continuing ESG initiatives while avoiding public discussions amid rising political backlash—termed 'greenhushing'.,The Times,https://www.thetimes.co.uk/article/the-rise-of-greenhushing-embrace-esg-but-dont-talk-about-it-txv2lwpp2?utm_source=chatgpt.com,The rise of greenhushing: Embrace ESG but don’t talk about it,2025-03-30,UK,2,4,2,2,2,2,2,4,20
