date,title,link,first_paragraph,publish_location,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,PESTLE,source
2025-05-09,Antrittsbesuch im BSI: Digitalminister Wildberger informiert sich zur Cybersicherheit,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250509_Antrittsbesuch_BSI_Wildberger.html,"Digitalisierung und Cybersicherheit – für das Bundesamt für Sicherheit in der Informationstechnik (BSI) sind das zwei Seiten der gleichen Medaille. Mit seinem heutigen Besuch imBSIunterstreicht Bundesdigitalminister Dr. Karsten Wildberger, wie wichtig das funktionierende Zusammenspiel für eine gelungene Digitalisierung ist. Mit dem neuen Bundesministerium für Digitales und Staatsmodernisierung (BMDS) werden große Teile der staatlichen Digitalisierungsvorhaben nun in einem Haus gebündelt. Auch dabei spielt die Cybersicherheit eine zentrale Rolle: das BMDS wird für mehrere Themen die Fachaufsicht über dasBSIübernehmen.",Bonn,Antrittsbesuch, BSI, Digitalminister, Cybersicherheit, Digitalisierung,political,BSI
2025-05-08,Zeitenwende im digitalen Raum: BSI wirkt als Scharnier zwischen Sicherheit und Digitalisierung,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250508_Zeitenwende_digitaler_Raum.html,"Die aktuellen geopolitischen Konflikte wirken sich zunehmend auf den digitalen Raum aus: Nach wie vor stellt dasBSIeine erhöhte Cyberbedrohungslage fest; Desinformation, Hacktivismus, Spionage und Sabotage waren und sind sowohl im russischen Angriffskrieg gegen die Ukraine als auch in der Folge des Terrorangriffs der Hamas auf Israel zu beobachten. Darüber hinaus lenkt die politische Lage in denUSAden Blick zunehmend auf digitale Abhängigkeiten.Diese „digitale Zeitenwende“ verlangt, dass Deutschland sich nicht nur militärisch und ökonomisch, sondern auch im Cyberraum resilient und handlungsfähig aufstellt. Wie das gelingen kann, darüber diskutierte Claudia Plattner, Präsidentin des Bundesamtes für Sicherheit in der Informationstechnik, mit Sicherheits- sowie Wirtschaftsexpertinnen und -experten beim diesjährigen Ludwig-Erhard-Gipfel am Tegernsee.Den Bedrohungen unserer Zeit könne man nur begegnen, wenn ein grundsätzliches, gesamtgesellschaftliches Bewusstsein für aktuelle Bedrohungen, notwendige Sicherheitsmaßnahmen und die Zusammenhänge zwischen Wirtschaft, Sicherheit und Digitalisierung geschaffen werde, betonte die Chefin der Cybersicherheitsbehörde auch mit Blick auf die Pläne der neuen Bundesregierung. Diese sehen vor, dass dasBSIweiterhin eng mit dem Bundesministerium des Innern zusammenarbeiten und gleichzeitig zusätzliche direkte Schnittstellen zum neuen Bundesministerium für Digitales und Staatsmodernisierung haben wird.BSI-Präsidentin Claudia Plattner:„Wohlstand und Stabilität in Deutschland hängen unmittelbar auch von den digitalen Fähigkeiten unseres Landes ab. Deshalb müssen wir Deutschland im digitalen Raum verteidigen, deshalb müssen wir die Digitalisierung schützen und deshalb müssen wir unsere digitale Resilienz stärken. Aus Sicht desBSImüssen Digitalisierung und Sicherheit grundsätzlich zusammen gedacht und umgesetzt werden. DasBSIwirkt dabei als Scharnier zwischen diesen beiden Welten: Als die Sicherheitsbehörde mit Digital-Know-how verstehen wir uns in diesem Sinne als Botschafter, Brückenbauer und Möglichmacher – und werden alles dafür tun, eine sichere und resiliente Digitalisierung zu unterstützen.“",Gmund am Tegernsee,BSI, Sicherheit, Digitalisierung, Cyberbedrohung, Resilienz,technological,BSI
2025-04-14,BSI empfiehlt Upgrade oder Wechsel des Betriebssystems nach Supportende von Windows 10,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250414_Windows10_Ende.html,"Zum 14. Oktober 2025 stelltMicrosoftdenSupportfürWindows10 ein, u.a. in den EditionenHome,ProundEducation. Das Betriebssystem erhält dann keine kostenlosenUpdatesmehr – auch solche nicht, die sicherheitsrelevant sind undz.B.Schwachstellen schließen. Allen, die nochWindows10 nutzen, empfiehlt das Bundesamt für Sicherheit in der Informationstechnik (BSI), rechtzeitig einUpgradedurchzuführenbzw.auf ein anderes Betriebssystem umzusteigen. Das können etwaWindows11, einUnix-basiertes Betriebssystem wiemacOSoder einLinux-basiertes Betriebssystem sein.",Bonn,Windows 10, Supportende, Upgrade, Betriebssystem, BSI,technological,BSI
2025-04-10,BSI und ZenDiS veröffentlichen Strategie für die automatisierte Absicherung von Softwarelieferketten für die Verwaltung,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250410_ZenDiS_sichere_Lieferketten.html,In Zeiten zunehmender geopolitischer Spannungen wird die Gewährleistung der Sicherheit und Beständigkeit digitaler Infrastrukturen zu einem zentralen Baustein der Daseinsvorsorge. Mit einer gemeinsamen Initiative rücken das Zentrum für Digitale Souveränität der Öffentlichen Verwaltung (ZenDiS) und das Bundesamt für Sicherheit in der Informationstechnik (BSI) nun die Bedeutung sicherer und souveräner Softwarelieferketten weiter in den Fokus.,Bochum/Bonn,BSI, ZenDiS, automatisierte Absicherung, Softwarelieferketten, digitale Infrastrukturen,technological,BSI
2025-03-31,Deutscher Seniorentag 2025: Digitale Absicherung auch im Alter,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250331_Seniorentag_2025.html,"Fast jedebzw.jeder Fünfte (19%) der Über-69-Jährigen war schon einmal von Cyberkriminalität betroffen, zeigt derCybersicherheitsmonitordes Bundesamts für Sicherheit in der Informationstechnik (BSI). Auch für Seniorinnen und Senioren gilt es daher, sich im digitalen Alltag zu schützen – ob beim Schreiben vonE-Mailsoder beim Suchen nach aktuellen Informationen. DasBSIberät sie sowohl mit einem auf die Zielgruppe zugeschnittenen, digitalen Informationsangebot als auch mit einem Messestand beim 14. Deutschen Seniorentag 2025 in Mannheim.",Bonn,Deutscher Seniorentag, Digitale Absicherung, Cyberkriminalität, Senioren, BSI,social,BSI
2025-03-28,World Backup Day: Warum eine regelmäßige Datensicherung unverzichtbar ist,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250328_World_Backup_Day.html,"Datenverlust kann unerwartet und in den unterschiedlichsten Formen auftreten – sei es durch einen technischen Defekt, einen Cyberangriff oder einen Unfall. Wer vorab eine Datensicherung angelegt hat, kann die gespeicherten Daten, etwa Dokumente, Kontakte und Fotos, aber ganz einfach auf ein neues Gerät übertragen. ZumWorldBackupDayam 31. März 2025 erinnert dasBSIVerbraucherinnen und Verbraucher daran, wie wichtig eine regelmäßige Datensicherung ist.",Bonn,Datensicherung, Datenverlust, World Backup Day, BSI, Verbraucherinnen,technological,BSI
2025-03-28,Claudia Plattner unter den „100 einflussreichsten Frauen der deutschen Wirtschaft“,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250328_100_Frauen_Wirtschaft.html,"Seit 2015 kürt dasmanager magazinzusammen mit derBoston Consulting Group(BCG) die 100 „wichtigsten Managerinnen, Aufseherinnen, Unternehmerinnen und Wegbereiterinnen der deutschen Wirtschaft“. Als „Deutschlands wichtigste Frau in der Abwehr von Cyberattacken, die Staat und Unternehmen inzwischen jährlich dreistellige Milliardenbeträge kosten“, wurde Claudia Plattner, Präsidentin des Bundesamtes für Sicherheit in der Informationstechnik (BSI), in der Kategorie „Managerinnen“ ausgezeichnet.",Bonn,Claudia Plattner, Frauen, deutsche Wirtschaft, BCG, Cyberattacken,social,BSI
2025-03-20,BSI als EUCC-Zertifizierungsstelle notifiziert,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250320_EUCC-DV.html,"Das Bundesamt für Sicherheit in der Informationstechnik (BSI) wurde heute als alleinige staatliche Zertifizierungsstelle gemäß der Verordnung (EU) 2019/881 (Cybersercurity Act,CSA) bei der Europäischen Kommission (EU-KOM) notifiziert. Ab sofort da­rf dasBSIAnträge von Herstellenden bearbeiten, die ein europäisches Cybersicherheitszertifikat für Produkte mit der Vertrauenswürdigkeitsstufe hoch entsprechend den Anforderunge­n der EUCC-Durchführungsverordnung (EUCC-DV) erteilt bekommen wollen. Zertifizierung auf dieser Vertrauenswürdigkeitsstufe bedeutet, dass Produkte einer Prüfung und Bewertung unterzogen werden, die darauf ausgerichtet ist, das Risiko von Cyberangriffen nach dem neuesten Stand der Technik durch Akteure mit umfangreichen Fähigkeiten und Ressourcen möglichst gering zu halten.",Bonn,BSI, EUCC-Zertifizierungsstelle, EU, Cybersicherheitszertifikat, Vertrauenswürdigkeitsstufe,legal,BSI
2025-03-18,Cloud Computing: BSI und Schwarz Digits planen Kooperation,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250318_BSI_Resilienz_Cloud-Loesung.html,"Das Bundesamt für Sicherheit in der Informationstechnik (BSI) undSTACKIT, derCloud-Providervon Schwarz Digits aus dem baden-württembergischen Neckarsulm, streben eine strategische Kooperation an. Ziel ist unter anderem die gemeinsame Entwicklung souveränerCloud-Lösungen, die auch für den Einsatz in der Bundesverwaltung nutzbar gemacht werden können.",Bonn,Cloud Computing, BSI, Schwarz Digits, Kooperation, Bundesverwaltung,technological,BSI
2025-03-14,Digitaler Verbraucherschutz: Phishing und Datenleaks sind die größten Bedrohungen,https://www.bsi.bund.de/DE/Service-Navi/Presse/Pressemitteilungen/Presse2025/250314_DVS-Jahresrueckblick_2024.html,"Zum morgigen Weltverbrauchertag hat das Bundesamt für Sicherheit in der Informationstechnik (BSI) seinen Jahresrückblick zumDigitalen Verbraucherschutz 2024vorgelegt. Für den Beobachtungszeitraum vom 1. Januar bis 31. Dezember 2024 kann gezeigt werden, dassPhishingals Angriffsform und Datenleaks bei Anbietern sich weiterhin als größte digitale Bedrohungen für Verbraucherinnen und Verbraucher darstellen.",Bonn,Digitaler Verbraucherschutz, Phishing, Datenleaks, Bedrohungen, BSI,technological,BSI
